No.,Time,Source,Destination,Protocol,Length,Info,,,Time 1,Time 2,,Delay 
78,4.385829,beacons-handoff.gcp.gvt2.com,MargaGibran-PC,TCP,54,https(443)  >  49327 [ACK] Seq=2672 Ack=1347 Win=23744 Len=0,,,,,,
79,4.387655,beacons-handoff.gcp.gvt2.com,MargaGibran-PC,TCP,54,https(443)  >  49327 [ACK] Seq=2672 Ack=1882 Win=24256 Len=0,,,,,,
80,4.391711,google.com,MargaGibran-PC,TCP,54,https(443)  >  49330 [ACK] Seq=3826 Ack=674 Win=23072 Len=0,,,,,,
81,4.392021,beacons-handoff.gcp.gvt2.com,MargaGibran-PC,TCP,54,https(443)  >  49327 [ACK] Seq=2672 Ack=2677 Win=25056 Len=0,,,,,,
82,4.392022,google.com,MargaGibran-PC,TCP,54,https(443)  >  49330 [ACK] Seq=3826 Ack=905 Win=23296 Len=0,,,,,,
83,4.393204,beacons-handoff.gcp.gvt2.com,MargaGibran-PC,TLSv1.3,634,"Application Data, Application Data",,,,,,
84,4.393519,MargaGibran-PC,beacons-handoff.gcp.gvt2.com,TLSv1.3,85,Application Data,,,,,,
85,4.423708,google.com,MargaGibran-PC,TCP,54,https(443)  >  49330 [ACK] Seq=3826 Ack=1696 Win=24064 Len=0,,,,,,
86,4.424012,beacons-handoff.gcp.gvt2.com,MargaGibran-PC,TLSv1.3,85,Application Data,,,,,,
87,4.424405,beacons-handoff.gcp.gvt2.com,MargaGibran-PC,TLSv1.3,1124,"Application Data, Application Data",,,,,,
88,4.424408,beacons-handoff.gcp.gvt2.com,MargaGibran-PC,TLSv1.3,93,Application Data,,,,,,
89,4.424409,beacons-handoff.gcp.gvt2.com,MargaGibran-PC,TLSv1.3,119,Application Data,,,,,,
90,4.42441,beacons-handoff.gcp.gvt2.com,MargaGibran-PC,TLSv1.3,85,Application Data,,,,,,
91,4.42441,google.com,MargaGibran-PC,TLSv1.3,634,"Application Data, Application Data",,,,,,
92,4.424485,MargaGibran-PC,beacons-handoff.gcp.gvt2.com,TCP,54,49327  >  https(443) [ACK] Seq=2708 Ack=4488 Win=65792 Len=0,,,,,,
93,4.424728,google.com,MargaGibran-PC,TLSv1.3,85,Application Data,,,,,,
94,4.424759,MargaGibran-PC,google.com,TCP,54,49330  >  https(443) [ACK] Seq=1696 Ack=4437 Win=65792 Len=0,,,,,,
95,4.428857,MargaGibran-PC,beacons-handoff.gcp.gvt2.com,TLSv1.3,93,Application Data,,,,,,
96,4.429026,MargaGibran-PC,beacons-handoff.gcp.gvt2.com,TLSv1.3,89,Application Data,,,,,,
97,4.429229,MargaGibran-PC,beacons-handoff.gcp.gvt2.com,TLSv1.3,89,Application Data,,,,,,
98,4.429465,MargaGibran-PC,google.com,TLSv1.3,85,Application Data,,,,,,
99,4.433467,beacons-handoff.gcp.gvt2.com,MargaGibran-PC,TLSv1.3,150,"Application Data, Application Data",,,,,,
100,4.433807,google.com,MargaGibran-PC,TLSv1.3,1124,"Application Data, Application Data",,,,,,
101,4.433814,google.com,MargaGibran-PC,TLSv1.3,93,Application Data,,,,,,
102,4.433879,MargaGibran-PC,google.com,TCP,54,49330  >  https(443) [ACK] Seq=1727 Ack=5546 Win=64512 Len=0,,,,,,
103,4.437296,MargaGibran-PC,beacons-handoff.gcp.gvt2.com,TLSv1.3,89,Application Data,,,,,,
104,4.437467,MargaGibran-PC,google.com,TLSv1.3,93,Application Data,,,,,,
105,4.437679,MargaGibran-PC,google.com,TLSv1.3,89,Application Data,,,,,,
106,4.440823,beacons-handoff.gcp.gvt2.com,MargaGibran-PC,TCP,54,https(443)  >  49327 [ACK] Seq=4584 Ack=2708 Win=25088 Len=0,,,,,,
107,4.468713,beacons-handoff.gcp.gvt2.com,MargaGibran-PC,TCP,54,https(443)  >  49327 [ACK] Seq=4584 Ack=2747 Win=25120 Len=0,,,,,,
108,4.470983,beacons-handoff.gcp.gvt2.com,MargaGibran-PC,TCP,54,https(443)  >  49327 [ACK] Seq=4584 Ack=2817 Win=25216 Len=0,,,,,,
109,4.471276,beacons-handoff.gcp.gvt2.com,MargaGibran-PC,TCP,54,https(443)  >  49327 [ACK] Seq=4584 Ack=2852 Win=25248 Len=0,,,,,,
110,4.471277,google.com,MargaGibran-PC,TCP,54,https(443)  >  49330 [ACK] Seq=5546 Ack=1727 Win=24096 Len=0,,,,,,
111,4.474956,google.com,MargaGibran-PC,TCP,54,https(443)  >  49330 [ACK] Seq=5546 Ack=1801 Win=24192 Len=0,,,,,,
193,9.899041,MargaGibran-PC,google.com,TCP,54,"49330  >  https(443) [FIN, ACK] Seq=1801 Ack=5546 Win=64512 Len=0",,,,,,
194,9.899642,MargaGibran-PC,beacons-handoff.gcp.gvt2.com,TCP,54,"49327  >  https(443) [FIN, ACK] Seq=2852 Ack=4584 Win=65536 Len=0",,,,,,
197,10.198895,MargaGibran-PC,google.com,TCP,54,"[TCP Retransmission] 49330  >  https(443) [FIN, ACK] Seq=1801 Ack=5546 Win=64512 Len=0",,,,,,
198,10.198895,MargaGibran-PC,beacons-handoff.gcp.gvt2.com,TCP,54,"[TCP Retransmission] 49327  >  https(443) [FIN, ACK] Seq=2852 Ack=4584 Win=65536 Len=0",,,,,,
201,10.79891,MargaGibran-PC,beacons-handoff.gcp.gvt2.com,TCP,54,"[TCP Retransmission] 49327  >  https(443) [FIN, ACK] Seq=2852 Ack=4584 Win=65536 Len=0",,,,,,
202,10.79891,MargaGibran-PC,google.com,TCP,54,"[TCP Retransmission] 49330  >  https(443) [FIN, ACK] Seq=1801 Ack=5546 Win=64512 Len=0",,,,,,
242,11.998949,MargaGibran-PC,beacons-handoff.gcp.gvt2.com,TCP,54,"[TCP Retransmission] 49327  >  https(443) [FIN, ACK] Seq=2852 Ack=4584 Win=65536 Len=0",,,,,,
243,11.998949,MargaGibran-PC,google.com,TCP,54,"[TCP Retransmission] 49330  >  https(443) [FIN, ACK] Seq=1801 Ack=5546 Win=64512 Len=0",,,,,,
288,14.399062,MargaGibran-PC,beacons-handoff.gcp.gvt2.com,TCP,54,"[TCP Retransmission] 49327  >  https(443) [FIN, ACK] Seq=2852 Ack=4584 Win=65536 Len=0",,,,,,
289,14.399062,MargaGibran-PC,google.com,TCP,54,"[TCP Retransmission] 49330  >  https(443) [FIN, ACK] Seq=1801 Ack=5546 Win=64512 Len=0",,,,,,
444,19.199206,MargaGibran-PC,beacons-handoff.gcp.gvt2.com,TCP,54,"[TCP Retransmission] 49327  >  https(443) [FIN, ACK] Seq=2852 Ack=4584 Win=65536 Len=0",,,,,,
445,19.199206,MargaGibran-PC,google.com,TCP,54,"[TCP Retransmission] 49330  >  https(443) [FIN, ACK] Seq=1801 Ack=5546 Win=64512 Len=0",,,,,,
447,19.22035,us-browser-notifications.opera.com,MargaGibran-PC,TLSv1.2,1354,Server Hello,,,,,,
